,项目名称,类别,子类别,描述,数值,单位,备注
1,柴油(DO),燃料,流动燃烧源,二氧化碳排放系数,2614.00,克/公升,
2,無無化碳k 鉛汽油(ULP),燃料,流动燃烧源,二氧化碳排放系数,2360.00,克/公升,
3,液化石油氣(LPG),燃料,流动燃烧源,二氧化碳排放系数,1679.00,克/公升,
4,氣油,燃料,流动燃烧源,二氧化碳排放系数,2645.00,克/公升,
5,煤油,燃料,流动燃烧源,二氧化碳排放系数,2429.00,克/公升,
6,木炭,燃料,流动燃烧源,二氧化碳排放系数,2970.00,克/公升,
7,煤氣,燃料,流动燃烧源,二氧化碳排放系数,2549.00,克/公升,
8,乙炔,燃料,流动燃烧源,二氧化碳排放系数,3683.00,克/公升,
9,电,燃料,流动燃烧源,二氧化碳排放系数,690.00,克/千瓦时,
10,家用煤气,燃料,流动燃烧源,二氧化碳排放系数,593.00,克/煤气度,
11,铝,原材料,金属,二氧化碳排放系数,1.65,克/克,一般类别
12,黄铜,原材料,金属,二氧化碳排放系数,2.61,克/克,一般类别
13,青铜,原材料,金属,二氧化碳排放系数,4.41,克/克,一般类别
14,铜,原材料,金属,二氧化碳排放系数,3.22,克/克,一般类别
15,钢铁,原材料,金属,二氧化碳排放系数,1.06,克/克,全球平均
16,铅,原材料,金属,二氧化碳排放系数,0.52,克/克,80% ISF + 20% DS
17,锌,原材料,金属,二氧化碳排放系数,1.72,克/克,60%密闭鼓风炉+40%威尔兹
18,锡,原材料,金属,二氧化碳排放系数,14.52,克/克,一般类别
19,镁,原材料,金属,二氧化碳排放系数,3.98,克/克,一般类别
20,水泥,原材料,建材,二氧化碳排放系数,0.51,克/克,一般类别
21,玻璃,原材料,建材,二氧化碳排放系数,0.17,克/克,一般类别
22,石灰,原材料,建材,二氧化碳排放系数,0.76,克/克,85%高钙+15%白云质
23,石块,原材料,建材,二氧化碳排放系数,0.06,克/克,一般类别
24,木材,原材料,建材,二氧化碳排放系数,0.47,克/克,一般类别
25,棉-布料,原材料,纺织,二氧化碳排放系数,8.77,克/克,
26,棉-填料,原材料,纺织,二氧化碳排放系数,1.66,克/克,
27,羊毛,原材料,纺织,二氧化碳排放系数,0.19,克/克,一般类别
28,纸和纸板,原材料,其他,二氧化碳排放系数,1.55,克/克,一般类别
29,纸和纸板-循环,原材料,其他,二氧化碳排放系数,0.78,克/克,循环再用
30,塑料,原材料,其他,二氧化碳排放系数,0.19,克/克,一般类别
31,橡胶-合成,原材料,其他,二氧化碳排放系数,4.39,克/克,
32,橡胶-天然,原材料,其他,二氧化碳排放系数,1.78,克/克,
33,氨,原材料,化学,二氧化碳排放系数,40.00,克/克,一般类别
34,牛肉,食物,肉类,二氧化碳排放系数,26672.60,克/千克,
35,猪肉,食物,肉类,二氧化碳排放系数,23839.20,克/千克,
36,鸡肉,食物,肉类,二氧化碳排放系数,2788.90,克/千克,
37,鱼,食物,水产,二氧化碳排放系数,6040.00,克/千克,
38,蛋,食物,蛋奶,二氧化碳排放系数,1758.00,克/千克,
39,牛奶,食物,蛋奶,二氧化碳排放系数,366.60,克/千克,
40,蔬菜,食物,植物性,二氧化碳排放系数,50.40,克/千克,
41,米,食物,植物性,二氧化碳排放系数,2927.00,克/千克,
42,地下铁路MTR,本地交通,铁路,按距离排放系数,7.80,克/公里,
43,地下铁路MTR,本地交通,铁路,按费用排放系数,12.76,克/元,
44,巴士,本地交通,巴士,按距离排放系数,27.90,克/公里,
45,巴士,本地交通,巴士,按费用排放系数,54.68,克/元,
46,小巴-柴油,本地交通,小巴,按距离排放系数,63.10,克/公里,
47,小巴-柴油,本地交通,小巴,按费用排放系数,101.93,克/元,
48,小巴-LPG,本地交通,小巴,按距离排放系数,64.80,克/公里,
49,小巴-LPG,本地交通,小巴,按费用排放系数,104.70,克/元,
50,电车,本地交通,电车,按距离排放系数,27.40,克/公里,
51,电车,本地交通,电车,按费用排放系数,75.98,克/元,
52,的士,本地交通,的士,按距离排放系数,121.00,克/公里,
53,的士,本地交通,的士,按费用排放系数,23.29,克/元,
54,渡轮,本地交通,渡轮,按距离排放系数,2230.00,克/公里,
55,渡轮,本地交通,渡轮,按费用排放系数,1641.53,克/元,
56,短途航班-经济舱,航空旅行,短途,排放系数,135,克/公里,经济舱排放系数：0.9
57,中途航班-经济舱,航空旅行,中途,排放系数,108,克/公里,经济舱排放系数：0.9
58,长途航班-经济舱,航空旅行,长途,排放系数,99,克/公里,经济舱排放系数：0.9
59,短途航班-商务舱,航空旅行,短途,排放系数,210,克/公里,商务舱排放系数：1.4
60,中途航班-商务舱,航空旅行,中途,排放系数,168,克/公里,商务舱排放系数：1.4
61,长途航班-商务舱,航空旅行,长途,排放系数,154,克/公里,商务舱排放系数：1.4
62,食水,其他,水,碳排放克/公升,
63,餐饮业污水,其他,水,碳排放克/公升,
64,一般行业污水,其他,水,碳排放克/公升,
65,植树,碳抵消,5米高树木,年均碳吸收量,23000.00,克/颗,
